strain,phage,interaction
ECOR54,55989_P2,0
ECOR52,55989_P2,0
ECOR51,55989_P2,1
ECOR55,55989_P2,1
ECOR57,55989_P2,1
NILS59,55989_P2,1
NILS71,55989_P2,0
ECOR56,55989_P2,1
NILS74,55989_P2,1
NILS79,55989_P2,1
NILS72,55989_P2,1
NILS29,55989_P2,1
NILS65,55989_P2,0
536,55989_P2,1
NILS81,55989_P2,1
NILS82,55989_P2,1
NILS78,55989_P2,0
NILS57,55989_P2,1
AL505,55989_P2,0
NILS67,55989_P2,1
ECOR61,55989_P2,1
ECOR62,55989_P2,1
NILS68,55989_P2,1
NILS21,55989_P2,1
NILS66,55989_P2,1
ECOR59,55989_P2,0
ECOR60,55989_P2,0
NILS75,55989_P2,1
NILS70,55989_P2,0
ECOR53,55989_P2,0
NILS54,55989_P2,0
T145,55989_P2,0
NILS62,55989_P2,0
MT1B1,55989_P2,0
NILS61,55989_P2,0
LF82,55989_P2,1
NILS26,55989_P2,0
NILS80,55989_P2,1
ED1A,55989_P2,0
NILS20,55989_P2,0
381A,55989_P2,1
ECOR65,55989_P2,1
NILS77,55989_P2,1
ECOR64,55989_P2,0
NILS28,55989_P2,1
NILS58,55989_P2,0
ECOR63,55989_P2,1
NILS64,55989_P2,0
NILS25,55989_P2,0
NILS55,55989_P2,0
NILS27,55989_P2,0
NILS73,55989_P2,0
NILS19,55989_P2,0
LM33,55989_P2,0
NILS44,55989_P2,0
NILS53,55989_P2,0
NILS76,55989_P2,0
NILS63,55989_P2,0
NILS69,55989_P2,0
ECOR66,55989_P2,0
DEC2A,55989_P2,0
DEC1A,55989_P2,0
NILS60,55989_P2,1
ROAR434,55989_P2,1
921A,55989_P2,1
916A,55989_P2,1
ECOR38,55989_P2,0
ECOR39,55989_P2,1
ECOR41,55989_P2,0
ECOR40,55989_P2,0
IAI39,55989_P2,1
ECOR35,55989_P2,1
ECOR36,55989_P2,1
NILS36,55989_P2,0
NILS01,55989_P2,0
NILS39,55989_P2,1
NILS50,55989_P2,1
NILS46,55989_P2,1
NILS18,55989_P2,1
ECOR47,55989_P2,1
ECOR44,55989_P2,1
NILS38,55989_P2,1
NILS51,55989_P2,0
ECOR49,55989_P2,0
ECOR50,55989_P2,0
NILS56,55989_P2,1
ECOR46,55989_P2,0
NILS42,55989_P2,0
NILS52,55989_P2,0
ECOR48,55989_P2,1
NILS23,55989_P2,1
H14,55989_P2,0
ROAR400,55989_P2,0
NILS49,55989_P2,1
NILS24,55989_P2,0
H4,55989_P2,0
H48,55989_P2,1
ECOR34,55989_P2,0
ECOR32,55989_P2,0
ECOR33,55989_P2,0
ECOR30,55989_P2,1
ECOR29,55989_P2,1
ECOR67,55989_P2,1
NILS02,55989_P2,1
ECOR26,55989_P2,0
ECOR27,55989_P2,1
ECOR28,55989_P2,1
ECOR45,55989_P2,1
55989,55989_P2,1
NILS33,55989_P2,1
ECOR69,55989_P2,0
ECOR58,55989_P2,1
ECOR72,55989_P2,1
NILS47,55989_P2,1
ECOR70,55989_P2,1
ECOR71,55989_P2,1
NILS15,55989_P2,0
NILS48,55989_P2,0
NILS34,55989_P2,1
NILS40,55989_P2,0
ECOR11,55989_P2,1
NILS09,55989_P2,1
NILS30,55989_P2,0
NILS32,55989_P2,1
NILS06,55989_P2,0
NILS22,55989_P2,0
NILS16,55989_P2,1
NILS35,55989_P2,1
ECOR10,55989_P2,0
