strain,phage,interaction
Kpcas091,A1a,0
Kpcas042,A1a,1
Kpcas039,A1a,0
CU276,A1a,0
CU293,A1a,0
CU402,A1a,0
CU406,A1a,0
CU443,A1a,0
CU448,A1a,0
CU451,A1a,0
CU494,A1a,0
CU503,A1a,0
132,A1a,0
779,A1a,0
806,A1a,0
228,A1a,0
245,A1a,0
406,A1a,0
1210,A1a,0
1446,A1a,0
1468,A1a,0
1572,A1a,0
2164,A1a,0
HAV1_14,A1a,1
HAV1_13,A1a,0
HCV1_19,A1a,0
HCV1_21,A1a,0
HCV1_10,A1a,0
HCV1_42,A1a,0
HCV1_24,A1a,0
HCV1_26,A1a,0
HCV1_27,A1a,0
HCV1_35,A1a,0
HCV1_36,A1a,0
HCV1_33,A1a,0
KP_HGE01_045,A1a,0
KP_HGE01_024,A1a,0
KP_HGE01_025,A1a,0
KP_HGE01_042,A1a,0
KP_HGE01_017,A1a,0
KP_HGE01_039,A1a,0
KP_HGE01_044,A1a,0
KP_HGE01_040,A1a,0
KP_HGE01_029,A1a,0
KP_HGE01_014,A1a,0
KP_HGE01_003,A1a,0
KP_HGE01_004,A1a,0
KP_HGE01_005,A1a,0
HGUA4_08,A1a,0
KP_HGUA02_068,A1a,0
HGUA4_09,A1a,0
HGUA4_51,A1a,0
KP_HGUA02_064,A1a,0
KP_HGUA02_073,A1a,0
KP_HGUA03_124,A1a,0
KP_HGUA02_099,A1a,0
KP_HGUA02_066,A1a,0
KP_HGUA02_059,A1a,0
KP_HGUA02_074,A1a,0
KP_HGUA02_054,A1a,0
KP_HGUA02_051,A1a,0
KP_HGUA03_117,A1a,0
KP_HGUA02_055,A1a,0
KP_HGUA02_092,A1a,0
HGUA4_15,A1a,0
KP_HGUA03_108,A1a,0
KP_HGUA03_147,A1a,0
KP_HGUA02_071,A1a,0
KP_HGUA02_089,A1a,0
Kpcas027,A1a,0
Kpcas048,A1a,0
Kpcas083,A1a,0
Kpcas024,A1a,0
HGUC2_04,A1a,0
Kpcas054,A1a,0
HGUC2_09,A1a,0
HLF1_17,A1a,0
HLF1_40,A1a,0
HLF1_54,A1a,0
HLF1_68,A1a,0
102KP-HG,A1a,1
156KP-HG,A1a,0
159KP-HG,A1a,0
191KP-HG,A1a,0
201KP-HG,A1a,0
205KP-HG,A1a,0
218KP-HG,A1a,1
225KP-HG,A1a,0
234KP-HG,A1a,0
242KP-HG,A1a,0
255KP-HG,A1a,0
268KP-HG,A1a,0
48KP-HG,A1a,0
HGV2_297,A1a,0
33KP-HG,A1a,0
HGV2_332,A1a,0
34KP-HG,A1a,0
HGV2_341,A1a,0
HGV2_370,A1a,0
HGV2_371,A1a,0
HGV2_379,A1a,0
HGV2_398,A1a,0
HGV2_400,A1a,0
HGV2_418,A1a,0
HGV2_429,A1a,0
HGV2_430,A1a,0
HGV2_431,A1a,0
52KP-HG,A1a,0
62KP-HG,A1a,0
