strain,phage,interaction
GCF_020806285,GCF_003930355,0
GCF_002873615,GCF_003930355,0
GCF_002873135,GCF_003930355,0
GCF_002874545,GCF_003930355,0
GCF_002874355,GCF_003930355,0
GCF_002873635,GCF_003930355,0
GCF_002875545,GCF_003930355,0
GCF_002876705,GCF_003930355,0
GCF_002877015,GCF_003930355,0
GCF_002874375,GCF_003930355,0
GCF_002875635,GCF_003930355,0
GCF_002872975,GCF_003930355,0
GCF_020806135,GCF_003930355,0
GCF_002873035,GCF_003930355,0
GCF_002875385,GCF_003930355,0
GCF_002873195,GCF_003930355,0
GCF_002873335,GCF_003930355,0
GCF_002874415,GCF_003930355,0
GCF_002876375,GCF_003930355,0
GCF_002876625,GCF_003930355,0
GCF_002877185,GCF_003930355,0
GCF_002873595,GCF_003930355,0
GCF_002875445,GCF_003930355,0
GCF_002873715,GCF_003930355,0
GCF_002876115,GCF_003930355,0
GCF_002877085,GCF_003930355,0
GCF_002875915,GCF_003930355,0
GCF_002875315,GCF_003930355,0
GCF_002877105,GCF_003930355,0
GCF_002873525,GCF_003930355,0
GCF_002876855,GCF_003930355,0
GCF_002875165,GCF_003930355,0
GCF_002874725,GCF_003930355,0
GCF_002876125,GCF_003930355,0
GCF_002873435,GCF_003930355,0
GCF_002875195,GCF_003930355,0
GCF_002876975,GCF_003930355,0
GCF_002877145,GCF_003930355,0
GCF_002877655,GCF_003930355,0
GCF_002878535,GCF_003930355,0
GCF_002876765,GCF_003930355,0
GCF_002877545,GCF_003930355,0
GCF_002877685,GCF_003930355,0
GCF_002875355,GCF_003930355,0
GCF_002876575,GCF_003930355,0
GCF_002875425,GCF_003930355,0
GCF_002877045,GCF_003930355,0
GCF_002877305,GCF_003930355,0
GCF_002874295,GCF_003930355,0
GCF_002876195,GCF_003930355,0
GCF_002876715,GCF_003930355,0
GCF_002877285,GCF_003930355,0
GCF_002874645,GCF_003930355,0
GCF_002875185,GCF_003930355,0
GCF_002875235,GCF_003930355,0
GCF_002876965,GCF_003930355,0
GCF_002876535,GCF_003930355,0
GCF_002876585,GCF_003930355,0
GCF_002876165,GCF_003930355,0
GCF_002876495,GCF_003930355,0
GCF_002874475,GCF_003930355,0
GCF_002873675,GCF_003930355,0
GCF_002875985,GCF_003930355,0
GCF_002875285,GCF_003930355,0
GCF_002876295,GCF_003930355,0
GCF_002875245,GCF_003930355,0
GCF_002873395,GCF_003930355,0
GCF_002877365,GCF_003930355,0
GCF_002876325,GCF_003930355,0
GCF_002876865,GCF_003930355,0
GCF_002874195,GCF_003930355,0
GCF_002873045,GCF_003930355,0
GCF_002874055,GCF_003930355,0
GCF_002872555,GCF_003930355,0
GCF_002872545,GCF_003930355,0
GCF_002876915,GCF_003930355,0
GCF_002875685,GCF_003930355,0
GCF_002875605,GCF_003930355,0
GCF_002875905,GCF_003930355,0
GCF_002875885,GCF_003930355,0
GCF_002875705,GCF_003930355,0
GCF_002875555,GCF_003930355,0
GCF_002872765,GCF_003930355,0
GCF_002877735,GCF_003930355,0
GCF_020806305,GCF_003930355,0
GCF_002876185,GCF_003930355,0
GCF_002876665,GCF_003930355,0
GCF_002876675,GCF_003930355,0
GCF_002875525,GCF_003930355,0
GCF_002875485,GCF_003930355,0
GCF_002874945,GCF_003930355,0
GCF_002873745,GCF_003930355,0
GCF_002873965,GCF_003930355,0
GCF_002874615,GCF_003930355,0
GCF_002873515,GCF_003930355,0
GCF_002874975,GCF_003930355,0
GCF_002872695,GCF_003930355,0
GCF_020806125,GCF_003930355,0
GCF_020806255,GCF_003930355,0
GCF_002872645,GCF_003930355,0
GCF_002872735,GCF_003930355,0
GCF_002875015,GCF_003930355,0
GCF_002872625,GCF_003930355,0
GCF_002873405,GCF_003930355,0
GCF_002872565,GCF_003930355,0
GCF_002877625,GCF_003930355,0
GCF_002873815,GCF_003930355,0
GCF_002874205,GCF_003930355,0
GCF_002873285,GCF_003930355,0
GCF_002875465,GCF_003930355,0
GCF_002877405,GCF_003930355,0
GCF_002877745,GCF_003930355,0
GCF_002874035,GCF_003930355,0
GCF_002877705,GCF_003930355,0
GCF_002872635,GCF_003930355,0
GCF_002873095,GCF_003930355,0
GCF_002874015,GCF_003930355,0
GCF_002874765,GCF_003930355,0
GCF_002872705,GCF_003930355,0
GCF_002873345,GCF_003930355,0
GCF_002874845,GCF_003930355,0
GCF_002872755,GCF_003930355,0
GCF_002876425,GCF_003930355,0
GCF_002877375,GCF_003930355,0
GCF_002875125,GCF_003930355,0
GCF_002876525,GCF_003930355,0
GCF_002873905,GCF_003930355,0
GCF_002873825,GCF_003930355,0
GCF_002873935,GCF_003930355,0
GCF_002877465,GCF_003930355,1
GCF_002874905,GCF_003930355,0
GCF_002875145,GCF_003930355,0
GCF_002876485,GCF_003930355,0
GCF_002876245,GCF_003930355,0
GCF_002874595,GCF_003930355,0
GCF_002878595,GCF_003930355,0
